date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:41	428/428	---M--	200	added ('OK')	image/svg+xml	etag:%2247d0c280c667f968ed710987c919f708%22	https://uploads-ssl.webflow.com/5db2e8f6b44d610f91587fe2/5dd34dd258fd7f8a8fcb6c5f_left-arrow.svg	/Users/mahunandegbelo/websites/events%20template/uploads-ssl.webflow.com/5db2e8f6b44d610f91587fe2/5dd34dd258fd7f8a8fcb6c5f_left-arrow.svg	(from https://www.meta-maniacs.de/ourwork)
12:06:42	680/680	---M--	200	added ('OK')	image/svg+xml	etag:%2219314b5f02cfc1e935bb5f39561f626a%22	https://uploads-ssl.webflow.com/6240418e5470d252171cded6/6242ccd180c173828b204e6d_close.svg	/Users/mahunandegbelo/websites/events%20template/uploads-ssl.webflow.com/6240418e5470d252171cded6/6242ccd180c173828b204e6d_close.svg	(from https://www.meta-maniacs.de/ourwork)
12:06:43	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2027%20Jul%202022%2017:06:43%20GMT	https://www.meta-maniacs.de/%22https://uploads-ssl.webflow.com/62407646b3c79804f0d72276/628507011ce4115a320175d2_wellnest_whirlpool_hover.png%22	/Users/mahunandegbelo/websites/events%20template/www.meta-maniacs.de/_https_/uploads-ssl.webflow.com/62407646b3c79804f0d72276/628507011ce4115a320175d2_wellnest_whirlpool_hover.11.delayed	(from https://www.meta-maniacs.de/ourwork)
12:06:44	26775/26775	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jul%202022%2017:06:44%20GMT	https://www.meta-maniacs.de/projekte/wellnest	/Users/mahunandegbelo/websites/events%20template/www.meta-maniacs.de/projekte/wellnest.html	(from https://www.meta-maniacs.de/ourwork)
12:06:46	1274/1274	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221f860115a23530aed10f759447faace3%22	https://uploads-ssl.webflow.com/6240418e5470d252171cded6/62850e9877bde7f78eee7ba3_arrow-right.svg	/Users/mahunandegbelo/websites/events%20template/uploads-ssl.webflow.com/6240418e5470d252171cded6/62850e9877bde7f78eee7ba3_arrow-right.svg	(from https://www.meta-maniacs.de/ourwork)
12:06:46	240/240	---M--	200	added ('OK')	image/svg+xml	etag:%2232fd816ae30aca78ee3f863002f6ceec%22	https://uploads-ssl.webflow.com/6240418e5470d252171cded6/62408625929c0385cd131178_cross-icon.svg	/Users/mahunandegbelo/websites/events%20template/uploads-ssl.webflow.com/6240418e5470d252171cded6/62408625929c0385cd131178_cross-icon.svg	(from https://www.meta-maniacs.de/ourwork)
12:06:47	1023/1023	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ed274582948a226636a88a83f0775ee1%22	https://uploads-ssl.webflow.com/6240418e5470d252171cded6/62406e574554cc437b4c29b9_instagram-icon.svg	/Users/mahunandegbelo/websites/events%20template/uploads-ssl.webflow.com/6240418e5470d252171cded6/62406e574554cc437b4c29b9_instagram-icon.svg	(from https://www.meta-maniacs.de/ourwork)
12:06:48	400/400	---M--	200	added ('OK')	image/svg+xml	etag:%22c682ddd2b4d6a014c28f12ed8df36a67%22	https://uploads-ssl.webflow.com/6240418e5470d252171cded6/62406f126cb1d8ac68a42b6e_linkedin-icon.svg	/Users/mahunandegbelo/websites/events%20template/uploads-ssl.webflow.com/6240418e5470d252171cded6/62406f126cb1d8ac68a42b6e_linkedin-icon.svg	(from https://www.meta-maniacs.de/ourwork)
12:06:49	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2027%20Jul%202022%2017:06:49%20GMT	https://www.meta-maniacs.de/%22https://uploads-ssl.webflow.com/62407646b3c79804f0d72276/6242de6ee4083c37ef5eb4e5_projekt-detail-img.svg%22	/Users/mahunandegbelo/websites/events%20template/www.meta-maniacs.de/_https_/uploads-ssl.webflow.com/62407646b3c79804f0d72276/6242de6ee4083c37ef5eb4e5_projekt-detail-img.svg_	(from https://www.meta-maniacs.de/ourwork)
12:06:50	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2027%20Jul%202022%2017:06:50%20GMT	https://www.meta-maniacs.de/%22https://uploads-ssl.webflow.com/62407646b3c79804f0d72276/6284f8f67deaadf06d05e29f_babyq_smartphone_hover.jpg%22	/Users/mahunandegbelo/websites/events%20template/www.meta-maniacs.de/_https_/uploads-ssl.webflow.com/62407646b3c79804f0d72276/6284f8f67deaadf06d05e29f_babyq_smartphone_hover.jpg_	(from https://www.meta-maniacs.de/ourwork)
12:06:51	27329/27329	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jul%202022%2017:06:51%20GMT	https://www.meta-maniacs.de/projekte/babyq	/Users/mahunandegbelo/websites/events%20template/www.meta-maniacs.de/projekte/babyq.html	(from https://www.meta-maniacs.de/ourwork)
12:06:52	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2027%20Jul%202022%2017:06:52%20GMT	https://www.meta-maniacs.de/%22https://uploads-ssl.webflow.com/62407646b3c79804f0d72276/6284f91ffde37760ea1ba1f2_babyq_smartphone_detail.jpg%22	/Users/mahunandegbelo/websites/events%20template/www.meta-maniacs.de/_https_/uploads-ssl.webflow.com/62407646b3c79804f0d72276/6284f91ffde37760ea1ba1f2_babyq_smartphone_detail.jpg_	(from https://www.meta-maniacs.de/ourwork)
12:06:53	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2027%20Jul%202022%2017:06:53%20GMT	https://www.meta-maniacs.de/%22https://uploads-ssl.webflow.com/62407646b3c79804f0d72276/6284fe2747cbd16e23ba4ce3_syde_people_hover.png%22	/Users/mahunandegbelo/websites/events%20template/www.meta-maniacs.de/_https_/uploads-ssl.webflow.com/62407646b3c79804f0d72276/6284fe2747cbd16e23ba4ce3_syde_people_hover.png_	(from https://www.meta-maniacs.de/ourwork)
12:06:54	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2027%20Jul%202022%2017:06:54%20GMT	https://www.meta-maniacs.de/projekte/syde	/Users/mahunandegbelo/websites/events%20template/www.meta-maniacs.de/projekte/syde	(from https://www.meta-maniacs.de/ourwork)
12:06:55	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2027%20Jul%202022%2017:06:55%20GMT	https://www.meta-maniacs.de/%22https://uploads-ssl.webflow.com/62407646b3c79804f0d72276/6284fe2347cbd13cf6ba4ce2_syde_people_detail.png%22	/Users/mahunandegbelo/websites/events%20template/www.meta-maniacs.de/_https_/uploads-ssl.webflow.com/62407646b3c79804f0d72276/6284fe2347cbd13cf6ba4ce2_syde_people_detail.png_	(from https://www.meta-maniacs.de/ourwork)
12:06:56	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2027%20Jul%202022%2017:06:56%20GMT	https://www.meta-maniacs.de/%22https://uploads-ssl.webflow.com/62407646b3c79804f0d72276/6284fdb8d0bc8f7eb4ff0095_cobrainer_hover.png%22	/Users/mahunandegbelo/websites/events%20template/www.meta-maniacs.de/_https_/uploads-ssl.webflow.com/62407646b3c79804f0d72276/6284fdb8d0bc8f7eb4ff0095_cobrainer_hover.png_	(from https://www.meta-maniacs.de/ourwork)
12:06:57	26034/26034	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jul%202022%2017:06:57%20GMT	https://www.meta-maniacs.de/projekte/cobrainer	/Users/mahunandegbelo/websites/events%20template/www.meta-maniacs.de/projekte/cobrainer.html	(from https://www.meta-maniacs.de/ourwork)
12:06:58	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2027%20Jul%202022%2017:06:58%20GMT	https://www.meta-maniacs.de/%22https://uploads-ssl.webflow.com/62407646b3c79804f0d72276/6284fdbc2af32ec90dc5b16a_cobrainer_detail.png%22	/Users/mahunandegbelo/websites/events%20template/www.meta-maniacs.de/_https_/uploads-ssl.webflow.com/62407646b3c79804f0d72276/6284fdbc2af32ec90dc5b16a_cobrainer_detail.png_	(from https://www.meta-maniacs.de/ourwork)
12:06:59	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2027%20Jul%202022%2017:06:59%20GMT	https://www.meta-maniacs.de/%22https://uploads-ssl.webflow.com/62407646b3c79804f0d72276/6284fde09c533d2e685c34a4_haus_der_Baecker_hover.png%22	/Users/mahunandegbelo/websites/events%20template/www.meta-maniacs.de/_https_/uploads-ssl.webflow.com/62407646b3c79804f0d72276/6284fde09c533d2e685c34a4_haus_der_Baecker_hover.png_	(from https://www.meta-maniacs.de/ourwork)
12:07:00	26833/26833	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jul%202022%2017:07:00%20GMT	https://www.meta-maniacs.de/projekte/haus-der-backer	/Users/mahunandegbelo/websites/events%20template/www.meta-maniacs.de/projekte/haus-der-backer.html	(from https://www.meta-maniacs.de/ourwork)
